time,longitude_s,latitude_s,longitude_e,latitude_e,quality_label
1715363867402227000,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363868150341000,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363868898455300,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363869646570500,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363870394684200,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363871142799400,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363871890914800,75.8201294,26.8627297,75.8201294,26.8627297,0.0
1715363866703628300,75.8201294,26.8627297,75.8201293,26.8627306,0.0
1715363874534254000,75.8201293,26.8627306,75.8201293,26.8627306,0.0
1715363874933249000,75.8201279,26.8627306,75.8201293,26.8627306,0.0
1715363872539280600,75.8201293,26.8627306,75.8201293,26.8627306,0.0
1715363873287395300,75.8201293,26.8627306,75.8201279,26.8627306,0.0
1715363874035511000,75.8201279,26.8627306,75.8201293,26.8627306,0.0
