time,longitude_s,latitude_s,longitude_e,latitude_e,mean_x,mean_y,mean_z,RMS_x,RMS_y,RMS_z
1709612861936215600,75.8205074,26.8630226,75.8205074,26.8630226,0.1303607991797539,0.04470362275936217,0.11079549547331798,0.18856387478058048,0.06593443544214131,0.16138759837007516
1709612862683792400,75.8205074,26.8630226,75.8205074,26.8630226,0.050906413067983325,0.03219525643067958,0.08668594411881139,0.09467840208968997,0.04572539187355189,0.10022441247566317
1709612863431751700,75.8205074,26.8630226,75.8205074,26.8630226,0.032851654850996115,0.04103699265814606,0.0712183744750952,0.050541122232939446,0.056516081666684675,0.08576390200811093
1709612864179711200,75.8205074,26.8630226,75.8205074,26.8630226,0.08718061844091725,0.07730686631624681,0.42983525920020893,0.19329735423081063,0.11390293002833533,0.6863011270989404
1709612864927670300,75.8205074,26.8630226,75.8205074,26.8630226,0.07671855353848314,0.051605276264510745,0.3563362085795968,0.19027316732981017,0.0932139430185,0.5748553188737894
1709612865675629600,75.8205074,26.8630226,75.8205074,26.8630226,0.03457661582717977,0.024248311196502847,0.12444331710279599,0.07113077754738645,0.03910028890194153,0.14314385102508667
1709612866423588600,75.8205074,26.8630226,75.8205074,26.8630226,0.04825890923698138,0.06344311968465183,0.37089556671354595,0.08255587229194271,0.09638961917139799,0.4608008925188006
1709612867171549700,75.8205074,26.8630226,75.8205074,26.8630226,0.04028831205834251,0.06348958652234887,0.207833163897357,0.06586686135796073,0.08707581537870951,0.33761565727369913
1709612867919509000,75.8205074,26.8630226,75.8205074,26.8630226,0.037019823759781786,0.03921198112261637,0.12015893337130693,0.063624003415572,0.05109799948779308,0.1452513617654267
1709612868667469800,75.8205074,26.8630226,75.8205074,26.8630226,0.05154293139511838,0.0467336344013279,0.23643040050941377,0.07463076705197758,0.07052921973143692,0.3667907608860839
1709612869415429600,75.8205074,26.8630226,75.8205074,26.8630226,0.0169583572034182,0.03937410840569665,0.29665922983487586,0.03828225917426258,0.06714931752522921,0.4033313732211466
1709612870163390500,75.8205074,26.8630226,75.8205074,26.8630226,0.02219839803817584,0.03011563996310653,0.11196037973855925,0.03819049895673706,0.04875289311017047,0.1505581786129712
1709612870911351300,75.8205074,26.8630226,75.8205074,26.8630226,0.025910881330478745,0.09971175160253684,0.27191560151803107,0.04913046830368662,0.14714489578478698,0.31147922387394866
1709612871659312400,75.8205074,26.8630226,75.8205074,26.8630226,0.018964233224057606,0.10884007485238692,0.19623277872701875,0.0332833747415015,0.1623847243736336,0.24737021065718295
1709612872407274800,75.8205074,26.8630226,75.8205074,26.8630226,0.017590849230524876,0.04412004172279362,0.1333750478758184,0.03035892365986114,0.07707288091495927,0.16975743003292995
1709612873155235600,75.8205074,26.8630226,75.8205074,26.8630226,0.08653970057831642,0.28241476095813933,1.1538468409832539,0.15450732934782876,0.5453149230901672,1.4056879651006646
1709612873903196700,75.8205074,26.8630226,75.8205074,26.8630226,0.11379908553320797,0.5241836424703652,1.6622474397062117,0.18873395918002703,0.8262080603790642,1.989981064817602
1709612874651159000,75.8205074,26.8630226,75.8205074,26.8630226,0.06258756191858465,0.04273479034429746,0.14386198716362375,0.1423781299637515,0.08898426954823346,0.17346087405865823
1709612875399121000,75.8205074,26.8630226,75.8205074,26.8630226,0.034347186189441624,0.02026961511546789,0.09951936093743019,0.05747503582389792,0.029705716615074765,0.12397508971702188
