time,longitude_s,latitude_s,longitude_e,latitude_e,mean_x,mean_y,mean_z,RMS_x,RMS_y,RMS_z
1715363867402227000,75.8201294,26.8627297,75.8201294,26.8627297,0.5782215767316757,0.3772384837129505,0.9698178117743124,0.7593710263788803,0.4907334123549022,1.1486039157070418
1715363868150341000,75.8201294,26.8627297,75.8201294,26.8627297,0.23849797339587703,0.34560333248218106,0.9051064808068491,0.44836392782433354,0.4500913639298174,1.040436718203047
1715363868898455300,75.8201294,26.8627297,75.8201294,26.8627297,0.3431679642354004,0.3292723294111929,0.6846358146420807,0.5325108564043285,0.43659968583448827,0.7539644480804529
1715363869646570500,75.8201294,26.8627297,75.8201294,26.8627297,0.13296517768781874,0.4480578182805718,0.903928900004515,0.20078456158393343,0.6514336689370909,0.9809808475210287
1715363870394684200,75.8201294,26.8627297,75.8201294,26.8627297,0.07417368185706574,0.2835365548550594,0.9663652465321233,0.18024077181133807,0.39297205479415914,1.1929646841048607
1715363871142799400,75.8201294,26.8627297,75.8201294,26.8627297,0.2395289243667761,0.5789967772967011,1.4902519204653264,0.5661639214224661,0.7597040065044496,1.635402418641492
1715363871890914800,75.8201294,26.8627297,75.8201294,26.8627297,0.024075162495181497,0.2528521269721792,1.247771716119161,0.04844909365779819,0.38113637802845374,1.417898992129172
1715363866703628300,75.8201294,26.8627297,75.8201293,26.8627306,0.12481381002900305,1.5410935899093297,1.720241782466175,0.21742864334444373,2.653371235895963,2.0656375203802058
1715363874534254000,75.8201293,26.8627306,75.8201293,26.8627306,0.6780265649699284,3.057455080231695,2.959603226449966,0.9673420498393234,3.677472885178495,3.267324556278286
1715363874933249000,75.8201279,26.8627306,75.8201293,26.8627306,0.10025127448289266,0.5188093640708767,2.424430200012757,0.21650340063142862,0.9968139042634203,3.264940726244411
1715363872539280600,75.8201293,26.8627306,75.8201293,26.8627306,0.42928996090704724,0.6217695158160641,2.262175921346137,0.8796342906228926,0.9548012504317483,3.866693910397635
1715363873287395300,75.8201293,26.8627306,75.8201279,26.8627306,0.7516335345306546,1.2496579283396625,6.326054899590553,1.2646872923595853,1.9252157741859681,6.890165051348086
1715363874035511000,75.8201279,26.8627306,75.8201293,26.8627306,0.07355286670562634,0.5660142360691532,4.287127912988893,0.20897009908629918,1.1841932529358743,5.097657386687045
