time,z,y,x,accuracy
1708448417534711600,0.0042122527956962585,0.012423157691955566,0.00001621246337890625,3
1708448417544587500,-0.0004896372556686401,0.0023833513259887695,0.000030517578125,3
1708448417554490400,-0.01334652304649353,0.006305575370788574,-0.004265785217285156,3
1708448417564422000,-0.012110061943531036,0.005581378936767578,0.009198188781738281,3
1708448417574382800,-0.0022987574338912964,0.009447932243347168,-0.009119987487792969,3
1708448417584372500,0.01117253303527832,-0.00017821788787841797,-0.0039920806884765625,3
1708448417594388700,0.005962692201137543,-0.004671573638916016,0.009638786315917969,3
1708448417604429000,0.005589194595813751,-0.00004756450653076172,0.0000743865966796875,3
1708448417614490000,0.009753182530403137,-0.004593253135681152,0.0000762939453125,3
1708448417624567000,0.004598401486873627,-0.00888967514038086,0.013599395751953125,3
1708448417634655200,0.004268251359462738,0.0004895925521850586,-0.0007047653198242188,3
1708448417644749800,-0.0004682615399360657,-0.004232525825500488,0.012958526611328125,3
1708448417654845700,0.004128709435462952,-0.004181265830993652,0.0032300949096679688,3
1708448417664849000,-0.0006038546562194824,0.0005180835723876953,0.003082275390625,3
1708448417674822700,-0.0052217841148376465,0.00033533573150634766,0.012102127075195312,3
1708448417684796200,0.004090882837772369,0.00016129016876220703,0.00243377685546875,3
1708448417694769700,0.008445411920547485,0.004681944847106934,-0.0068378448486328125,3
1708448417704743400,0.0035352706909179688,-0.00026226043701171875,0.007244110107421875,3
1708448417714717000,-0.0011692717671394348,-0.005017757415771484,-0.0022258758544921875,3
1708448417724690400,0.008131854236125946,-0.00038254261016845703,0.0024852752685546875,3
1708448417734664200,-0.001368686556816101,0.004087686538696289,0.016265869140625,3
1708448417744637700,0.003237418830394745,0.003784656524658203,0.015723228454589844,3
1708448417754611200,-0.010732144117355347,-0.0010312795639038086,0.0013189315795898438,3
1708448417764585000,-0.0010933130979537964,0.008208870887756348,0.010550498962402344,3
1708448417774558500,-0.0009338408708572388,0.007891297340393066,0.005587577819824219,3
1708448417784532000,0.008405856788158417,0.0028471946716308594,0.0007925033569335938,3
1708448417794505700,0.008183449506759644,-0.0020459890365600586,-0.008508682250976562,3
1708448417804479200,-0.0013286992907524109,0.007153630256652832,-0.008248329162597656,3
1708448417814453000,0.00328759104013443,0.0022382736206054688,-0.0033559799194335938,3
