time,longitude,latitude,quality_label,mean_x,mean_y,mean_z,RMS_x,RMS_y,RMS_z,longitude_s,latitude_s,longitude_e,latitude_e
1.701596301213931e+18,,,0.0,0.08679018260162563,0.13579061427259997,0.6016358497216131,0.19348589900387125,0.20485776461254487,0.7726857851181025,75.8105036,26.860432,75.8105036,26.860432
1.7015963017162427e+18,,,0.0,0.07313373154525546,0.11352535341315333,0.5496658618174184,0.18108329348817337,0.18567642855080344,0.7240915323998868,75.8105036,26.860432,75.8105036,26.860432
1.7015963022185554e+18,,,0.0,0.10582664781160193,0.23749560365250336,0.6326616587327952,0.2588662866150895,0.3951883830811084,0.7852717715496278,75.8105036,26.860432,75.8105036,26.860432
1.7015963027208689e+18,,,0.0,0.20831317438731314,0.30381538821241955,0.881809727179622,0.41361587578329917,0.44721966818573755,1.0578025747477542,75.8105036,26.860432,75.8104809,26.8603672
1.701596303223183e+18,,,0.0,0.22347496472090783,0.310026558047566,1.0595205841393203,0.4184973148951593,0.46772243929209134,1.2557890661442066,75.8105036,26.860432,75.8104905,26.860391
1.701596303725498e+18,,,0.0,0.12792531179963698,0.2854335208578041,0.8804819899699698,0.27418794113359035,0.4654303728232532,1.0821114117020167,75.8104809,26.8603672,75.8104905,26.860391
1.7015963042529293e+18,,,0.0,0.07853589813146566,0.24531681369514863,0.6982003967593147,0.15424103347665458,0.35763562588996345,0.7859963132871477,75.8104905,26.860391,75.8104963,26.8604696
1.7015963047552453e+18,,,0.0,0.10920710010907304,0.2614762017459577,0.7481701540028751,0.18309889428548776,0.3401469093791595,0.8135777509020216,75.8104905,26.860391,75.8104963,26.8604696
1.7015963052575608e+18,,,0.0,0.1227416328497697,0.2742432332846003,0.665343328874295,0.22150419450513573,0.3967849846614584,0.7359277663005431,75.8104963,26.8604696,75.8104912,26.8605093
1.7015963057598766e+18,,,0.0,0.17656644091652143,0.43602968645382767,1.170439590812331,0.3303336323236812,0.6613925347257604,1.5093206930725283,75.8104963,26.8604696,75.8104912,26.8605093
1.7015963062621926e+18,,,0.0,0.29546362225737577,0.6435214479476419,1.4774600320251299,0.5805873312478591,0.9846172682438343,1.808070018768249,75.8104912,26.8605093,75.8104777,26.8605215
1.7015963067645084e+18,,,0.0,0.5192169442148724,0.8497246655244305,2.1473563408939573,0.9880433019778695,1.2763218440511706,2.855735463266071,75.8104912,26.8605093,75.8104777,26.8605215
1.7015963072668242e+18,,,0.0,0.692354327748755,1.137701741852805,3.1194643839527254,1.2036908254262912,1.7545582747035804,3.8922790837372703,75.8104777,26.8605215,75.8104609,26.8605289
1.7015963077691402e+18,,,0.0,0.5881935301366938,0.9931159506142205,2.5386664368616003,1.1457929083540586,1.6436688179527823,3.313305980869489,75.8104777,26.8605215,75.8104525,26.8605294
1.701596308271456e+18,,,0.0,0.32992909437650136,0.695334377038,1.7890591890152103,0.8033652387016723,1.1459465225451504,2.300254446516122,75.8104609,26.8605289,75.8104395,26.8605353
1.701596308773772e+18,,,0.0,0.2549982804315475,0.8097386262704227,2.271470998936834,0.4598934089442164,1.3598042265525903,3.1244914122256198,75.8104525,26.8605294,75.8104306,26.8605383
1.7015963092760878e+18,,,0.0,0.3861823884681624,0.8313028379974832,2.7521425627616964,0.7257265335232217,1.4345052604966984,3.5934827651159322,75.8104395,26.8605353,75.810424,26.8605395
1.7015963097784038e+18,,,0.0,0.5095744810615046,0.839778590800319,2.7340187532127573,0.9520086200336315,1.5773396267937414,3.4569676259590683,75.8104306,26.8605383,75.8104108,26.8605408
1.70159631028072e+18,,,0.0,0.5354288170803315,0.96696597021429,2.818756245350132,0.97012573194918,1.7488212971923405,3.5491222240011138,75.810424,26.8605395,75.8104108,26.8605408
1.7015963107830356e+18,,,0.0,0.6317235145801976,1.1187061857788994,3.065194781989268,1.205890491967555,1.764185876859281,3.9484001714887604,75.8104108,26.8605408,75.810389,26.8605438
1.7015963112853514e+18,,,0.0,0.5764755232447021,1.122728697345244,3.1164089330156513,1.1373809405058588,1.7759131757892677,4.1437283901620345,75.8104108,26.8605408,75.8103741,26.8605435
1.7015963117876672e+18,,,0.0,0.45450271118930596,1.2380951303267793,3.549298360922644,0.8315760562826482,2.2714212965594287,5.4981035156150915,75.810389,26.8605438,75.8103671,26.8605433
1.701596312289983e+18,,,0.0,0.46207183296444754,1.1515886943415803,3.7412044213231423,0.8682714604692741,2.1738875291725495,5.563630519864085,75.8103741,26.8605435,75.8103526,26.8605391
1.701596312792299e+18,,,0.0,0.44067002538463884,1.014599996243779,3.196563262437417,0.8053455900667907,1.9559280139242066,3.989323617792201,75.8103671,26.8605433,75.8103423,26.8605349
1.7015963132946143e+18,,,0.0,0.5437466854025873,1.3387505159488884,3.4986325418683566,0.9444281327453543,2.660851512044496,4.7430851277024155,75.8103526,26.8605391,75.810326,26.8605269
1.7015963137969298e+18,,,0.0,0.6273609239528067,1.4950548432741746,4.136289996355698,1.0536198964572703,2.779142443609121,5.7311839629523655,75.8103423,26.8605349,75.8103171,26.8605233
1.7015963142992456e+18,,,0.0,0.5508360685426605,1.748373875602477,4.632850782506185,0.9521678220116079,3.1785747899921035,6.472792153450885,75.810326,26.8605269,75.81031,26.8605188
1.7015963148015608e+18,,,0.0,0.3721280833743327,1.4747938597287487,4.173498458572643,0.7191170393416831,2.913941980930234,5.730157944607463,75.8103171,26.8605233,75.8102975,26.8605135
1.701596315303876e+18,,,0.0,0.36700456094731804,1.1563756795793736,3.606048778374884,0.7370545747534923,2.304416413775821,4.3523153069140275,75.81031,26.8605188,75.8102891,26.8605098
