time,longitude,latitude,quality_label,mean_x,mean_y,mean_z,RMS_x,RMS_y,RMS_z,longitude_s,latitude_s,longitude_e,latitude_e
1.7015987464798776e+18,,,0.0,0.18019599655087454,0.6355346359506302,1.2450511538120557,0.44947200164394946,0.8742688027300436,1.4595173455947354,75.8112787,26.8581039,75.8112787,26.8581039
1.7015987469821714e+18,,,0.0,0.29643329738111684,0.8551127302244896,1.4931515180617385,0.6065365686403968,1.339381535399271,1.8129638043476677,75.8112787,26.8581039,75.8112787,26.8581039
1.7015987474844667e+18,,,0.0,0.28625777688381865,0.7282035020011279,1.5499918897921057,0.5587173167088513,1.2253498579596804,1.8378061811562945,75.8112787,26.8581039,75.8113975,26.8582175
1.7015987479867628e+18,,,0.0,0.43389352023651406,0.6473237620806884,1.7925970432359768,0.8966312388918329,1.0289575881714534,2.1362340557493416,75.8112787,26.8581039,75.8113975,26.8582175
1.7015987484890596e+18,,,0.0,0.5994791312803627,0.827325353724289,1.826411606057391,1.0575045279568163,1.256025761972246,2.2463321110727055,75.8113975,26.8582175,75.8115338,26.8582571
1.7015987490164723e+18,,,0.0,0.46873068824335606,0.9117466263505898,2.1075655982308446,0.8186124914850879,1.4834689860060604,2.649258627414545,75.8113975,26.8582175,75.8115338,26.8582571
1.7015987495187712e+18,,,0.0,0.32418938815924414,0.8144085236547596,2.3927702928239336,0.599394447704393,1.4368560417162362,2.955358216057201,75.8115338,26.8582571,75.8115535,26.8582612
1.70159875002107e+18,,,0.0,0.31237756917329984,0.7503075814097879,2.424329193943783,0.5927267456165468,1.342405876210907,3.0213342951700106,75.8115338,26.8582571,75.8115535,26.8582612
1.7015987505233695e+18,,,0.0,0.3129431200448092,0.7322399712728695,2.6521562029670505,0.6477917483383941,1.4017136266965,3.182346466272661,75.8115535,26.8582612,75.8115526,26.8582571
1.7015987510256689e+18,,,0.0,0.3799314166494169,0.7288272325187335,2.8143884630182,0.8080589486884102,1.3721211659970727,3.4846452792524003,75.8115535,26.8582612,75.8115526,26.8582571
1.7015987515279685e+18,,,0.0,0.52001134153492,0.8789870968302392,2.7884159158848143,0.914180389402513,1.4967011869231932,3.5807606637416782,75.8115526,26.8582571,75.81154,26.8582463
1.7015987520302682e+18,,,0.0,0.4668326962590407,0.7687961109976105,2.410000256750325,0.7925089384784471,1.3109954507866073,3.066451337381903,75.8115526,26.8582571,75.81154,26.8582463
1.7015987525325678e+18,,,0.0,0.5028530668879972,0.6487936192296938,2.0324694380911086,0.8933635871274944,1.0347964662621865,2.6032124579460185,75.81154,26.8582463,75.8115262,26.8582261
1.7015987530348677e+18,,,0.0,0.4882708489155389,0.6223924760994999,1.800077756522922,0.8756873423504061,1.0303995511092758,2.2829408667885684,75.81154,26.8582463,75.8115262,26.8582261
1.7015987535371674e+18,,,0.0,0.26378046995100357,0.6417475651848412,1.593681695032287,0.5185312292697544,1.1422853746789825,2.026249454663675,75.8115262,26.8582261,75.8115181,26.8582026
1.7015987540394678e+18,,,0.0,0.19157681132254356,0.687359571761121,1.5019526533424312,0.3383580423394094,1.1875887315831009,1.909064578622908,75.8115262,26.8582261,75.8115181,26.8582026
1.7015987545417682e+18,,,0.0,0.2548372978069692,0.6667109078287113,1.685345800578286,0.49185120565071555,1.1922989493831415,2.1153339327352185,75.8115181,26.8582026,75.8115133,26.8581761
1.701598755044069e+18,,,0.0,0.2994090972305714,0.6568183054687025,1.8723692568257246,0.5893147960751554,1.1365361440007922,2.2807613988327944,75.8115181,26.8582026,75.8115133,26.8581761
1.7015987555463703e+18,,,0.0,0.3845542719313868,0.6466889100000429,1.860758948043783,0.7637931341963806,1.0563129717167137,2.2862451605559113,75.8115133,26.8581761,75.8115083,26.8581524
1.7015987560486717e+18,,,0.0,0.3260216803551076,0.7074158352108122,1.7209315734950144,0.6860021353122207,1.2254906158162064,2.165077519759165,75.8115083,26.8581524,75.8115083,26.8581524
1.7015987565509734e+18,,,0.0,0.35010519314234523,0.787145285033416,1.9718324042302218,0.686338064429799,1.4049477595259101,2.4363791546682942,75.8115083,26.8581524,75.8115016,26.8581231
